text,lat,lng
"Water pipeline burst on LBS Road flooding the entire lane",19.0712,72.8931
"Pipeline leak on LBS Road has flooded the street since morning",19.0715,72.8934
"Open manhole outside Kurla bus depot is a serious accident risk",19.0724,72.8918
"Streetlights not working on CST Road stretch near the signal",19.0741,72.8897
"No garbage pickup around Station Road for four days",19.0733,72.8926
"Garbage not collected near Station Road and the smell is unbearable",19.0736,72.8922
"Mosquito breeding in stagnant water behind the market",19.0704,72.8952
"Sewage overflow near Nehru Nagar clinic is creating a health hazard",19.0751,72.8908
"Deep pothole near Andheri East metro exit is causing bike skids",19.1124,72.8721
"Large pothole outside Andheri East metro station needs urgent repair",19.1128,72.8725
"Power outage in Marol MIDC area since last night",19.1111,72.8753
"Loose electric wire hanging over the footpath near JB Nagar",19.1098,72.8742
"Overflowing community toilet near Chakala is spreading foul water",19.1089,72.8706
"Water supply has been muddy in the Chakala pipeline for two days",19.1107,72.8698
"Suspected gas leak smell in the lane behind the Andheri market",19.1136,72.8714
"Broken road divider near Dadar TT is causing dangerous traffic confusion",19.0185,72.8469
"Clinic waste dumped near the school in Dadar West",19.0172,72.8448
"Drinking water tap near Plaza cinema is leaking continuously",19.0191,72.8457
"Stray dogs chasing children near the Dadar playground every evening",19.0203,72.8475
"Piles of uncollected trash beside the Dadar flower market",19.0168,72.8461
